model,acc,prec,rec,f1,bal_acc,loss,hidden,layers,lr,batch_size,flag,step_size,m,train_time,test_time
ginjk,0.8207807570977919,0.8041835964032832,0.8207807570977919,0.7957602339943951,0.8183466406317703,0.5189979369120455,128,4,0.001,64,False,-1,-1,269.0529235005379,0.4302098751068115
ginjk,0.8312302839116719,0.8247863174494063,0.8312302839116719,0.8167320950087572,0.8296663459582628,0.46508057925509355,128,4,0.001,32,False,-1,-1,294.8630104660988,0.41894757747650146
ginjk,0.8389195583596215,0.8446049371875334,0.8389195583596215,0.822141263775394,0.8373215277685321,0.40069565943174934,128,4,0.001,16,False,-1,-1,407.84781980514526,0.4187238812446594
ginjk,0.8460173501577287,0.8479310293277557,0.8460173501577287,0.8357305372413538,0.8450826562535556,0.38737758371262143,128,4,0.001,8,False,-1,-1,784.0311724543571,0.4084075093269348
ginjk,0.8383280757097792,0.8455381882574129,0.8383280757097792,0.8241596950079122,0.8374465063331833,0.4775275808497558,128,5,0.001,64,False,-1,-1,345.48622608184814,0.4906996488571167
ginjk,0.836947949526814,0.8423800173903593,0.836947949526814,0.8231587637853027,0.8355617232312054,0.4371841396396092,128,5,0.001,32,False,-1,-1,405.44386434555054,0.505580723285675
ginjk,0.8371451104100947,0.846177967993396,0.8371451104100947,0.8214318786252063,0.8359292720116174,0.4162416710791528,128,5,0.001,16,False,-1,-1,505.44471913576126,0.4974977970123291
ginjk,0.8466088328075709,0.8611573324687634,0.8466088328075709,0.8316914422594343,0.8465896624281586,0.38359574425953796,128,5,0.001,8,False,-1,-1,876.4293313622475,0.49183428287506104
ginjk,0.8294558359621451,0.8408641483718104,0.8294558359621451,0.811216410523972,0.8275550044611201,0.46570602668102606,128,6,0.001,64,False,-1,-1,380.94708132743835,0.5717123746871948
ginjk,0.826301261829653,0.8354370722729464,0.826301261829653,0.8099411546688263,0.8232799619815893,0.4805003107769256,128,6,0.001,32,False,-1,-1,264.9185109734535,0.566836416721344
ginjk,0.8353706624605678,0.8475229515235386,0.8353706624605678,0.818719786281191,0.8341915363122329,0.4279529610149304,128,6,0.001,16,False,-1,-1,532.5300613045692,0.5765895247459412
ginjk,0.8436514195583596,0.8524041190690337,0.8436514195583596,0.8296471514527085,0.8428772919404065,0.3909683451526549,128,6,0.001,8,False,-1,-1,997.5404908657074,0.5913733243942261
ginjk,0.8259069400630916,0.8286416327572478,0.8259069400630916,0.8100145187383342,0.8226392313792649,0.5056658041448999,128,7,0.001,64,False,-1,-1,227.6147363781929,0.6597221493721008
ginjk,0.83852523659306,0.8409562688136625,0.83852523659306,0.8271721195877806,0.8371115420236322,0.44342798796079885,128,7,0.001,32,False,-1,-1,464.5287691950798,0.663070797920227
ginjk,0.84897476340694,0.8513161648953689,0.84897476340694,0.839708875644656,0.8483763846222954,0.37516658545151493,128,7,0.001,16,False,-1,-1,845.994481086731,0.6362468600273132
ginjk,0.8406940063091484,0.8557805226931331,0.8406940063091484,0.8235197194928767,0.8401917086304216,0.4241274484324531,128,7,0.001,8,False,-1,-1,892.3005569577217,0.6416262984275818
ginjk,0.8111198738170348,0.7903961474141827,0.8111198738170348,0.7885289849590695,0.8080521567660515,0.5503120037847513,64,4,0.001,64,False,-1,-1,232.48137480020523,0.37277334928512573
ginjk,0.8170347003154573,0.802518949046607,0.8170347003154573,0.7948662516663791,0.8138181172183451,0.5023429794501431,64,4,0.001,32,False,-1,-1,258.80478727817535,0.36404597759246826
ginjk,0.846608832807571,0.8483809522675548,0.846608832807571,0.8367989054876599,0.8456988492990632,0.38668183225562525,64,4,0.001,16,False,-1,-1,477.8443583250046,0.37384408712387085
ginjk,0.8406940063091483,0.8473172471501959,0.8406940063091483,0.8261510369870599,0.8388278217739582,0.4077519489340602,64,4,0.001,8,False,-1,-1,510.8206531405449,0.37241458892822266
ginjk,0.8306388012618295,0.84311979202314,0.8306388012618295,0.8127043463472832,0.8278765304222472,0.47972317843783163,64,5,0.001,64,False,-1,-1,291.57178139686584,0.4394632577896118
ginjk,0.8324132492113564,0.8318296139925567,0.8324132492113564,0.8218282879006922,0.8306420917252919,0.4850475471290504,64,5,0.001,32,False,-1,-1,298.0045571923256,0.4263172149658203
ginjk,0.8353706624605678,0.8360944055165013,0.8353706624605678,0.8248408908862519,0.8343868805235023,0.4502181717391458,64,5,0.001,16,False,-1,-1,423.9515319466591,0.4399113059043884
ginjk,0.842468454258675,0.8457386391870494,0.842468454258675,0.8308998152726249,0.8413379369843885,0.41031967141086745,64,5,0.001,8,False,-1,-1,706.1094326376915,0.43608319759368896
ginjk,0.8201892744479495,0.8216915582540893,0.8201892744479495,0.8047581003378277,0.8181325701650414,0.5338166220472061,64,6,0.001,64,False,-1,-1,232.31197702884674,0.48717212677001953
ginjk,0.8221608832807571,0.8259245169600441,0.8221608832807571,0.8061704952133499,0.8191769831960772,0.503107310681125,64,6,0.001,32,False,-1,-1,260.1169477701187,0.5074908137321472
ginjk,0.8377365930599369,0.8403990015090399,0.8377365930599369,0.8270700440769823,0.8360551926991828,0.4391433840576407,64,6,0.001,16,False,-1,-1,503.4655236005783,0.49112099409103394
ginjk,0.8406940063091483,0.8488625315976349,0.8406940063091483,0.8267306869751756,0.839296995329193,0.41027636167942916,64,6,0.001,8,False,-1,-1,803.7675890922546,0.4928593039512634
ginjk,0.8217665615141956,0.8247513889664956,0.8217665615141956,0.8055347609696789,0.8187478007280597,0.5223916584996019,64,7,0.001,64,False,-1,-1,209.9850372672081,0.5542885661125183
ginjk,0.8225552050473186,0.8218203962433928,0.8225552050473186,0.8065826221690351,0.8191067817395801,0.5264156080711904,64,7,0.001,32,False,-1,-1,251.15040183067322,0.5593029856681824
ginjk,0.8363564668769716,0.8409159573500242,0.8363564668769716,0.8224832908552748,0.8348442272235121,0.4482295552403769,64,7,0.001,16,False,-1,-1,563.5339270234108,0.5580897927284241
ginjk,0.8454258675078864,0.8487263757106829,0.8454258675078864,0.8357032809935938,0.8444640640182167,0.38825869721240047,64,7,0.001,8,False,-1,-1,1104.6800700426102,0.5652101039886475
ginjk,0.8044164037854891,0.7792259511844679,0.8044164037854891,0.780817854120465,0.8002269751315838,0.589463440918772,32,4,0.001,64,False,-1,-1,200.15735602378845,0.33624857664108276
ginjk,0.822160883280757,0.80841111189707,0.822160883280757,0.8051931978782987,0.8189909249212886,0.5316689173317858,32,4,0.001,32,False,-1,-1,323.7483723163605,0.34897273778915405
ginjk,0.8328075709779179,0.8268284574098481,0.8328075709779179,0.8193120482455462,0.8306076547739183,0.4680868685715582,32,4,0.001,16,False,-1,-1,416.3466528058052,0.34785687923431396
ginjk,0.8337933753943219,0.8295822386695445,0.8337933753943219,0.8211152230066757,0.8318453123967409,0.4488414469577537,32,4,0.001,8,False,-1,-1,678.8206375837326,0.34797340631484985
ginjk,0.8111198738170347,0.8029140716379268,0.8111198738170347,0.791907965706554,0.8074120921188578,0.554294589824669,32,5,0.001,64,False,-1,-1,237.31057089567184,0.40098434686660767
ginjk,0.8355678233438486,0.8480978798484685,0.8355678233438486,0.8194144874332043,0.8331736764085735,0.4735659873024899,32,5,0.001,32,False,-1,-1,415.1933618783951,0.39389508962631226
ginjk,0.8355678233438486,0.8364643025894584,0.8355678233438486,0.8243630615964052,0.8334092715269807,0.44993345641563365,32,5,0.001,16,False,-1,-1,574.7784113287926,0.38796621561050415
ginjk,0.8428627760252365,0.8496920058324368,0.8428627760252365,0.8298267678165472,0.8421967274574329,0.41517223226206157,32,5,0.001,8,False,-1,-1,752.192770421505,0.3969210982322693
ginjk,0.8166403785488959,0.8122127393566358,0.8166403785488959,0.8043772457476419,0.8132242355524262,0.5383504291156113,32,6,0.001,64,False,-1,-1,259.7065943479538,0.4464344382286072
ginjk,0.8292586750788643,0.8278691546805131,0.8292586750788643,0.8187708882037215,0.8269081075346131,0.5158427799302697,32,6,0.001,32,False,-1,-1,354.2247585654259,0.45275217294692993
ginjk,0.8298501577287066,0.8322556110720761,0.8298501577287066,0.8148132786755864,0.8277059467379787,0.46789278172262083,32,6,0.001,16,False,-1,-1,455.9129420518875,0.43950748443603516
ginjk,0.8268927444794953,0.8267905758184699,0.8268927444794953,0.814264843854211,0.8237867010105462,0.48828664461991017,32,6,0.001,8,False,-1,-1,616.3771804571152,2.1963276267051697
ginjk,0.8148659305993691,0.8092356564116201,0.8148659305993691,0.7994950677675396,0.8112269349472558,0.5518210960863517,32,7,0.001,64,False,-1,-1,269.143130004406,0.5110549330711365
----
ginjk,0.8357030015797787,0.8421690577973594,0.8357030015797787,0.8202355395153502,0.835567825581444,0.48918153993538205,128,4,0.001,64,False,-1,-1,306.69898426532745,0.46106022596359253
ginjk,0.8447867298578199,0.8468959171175221,0.8447867298578199,0.8337464989433225,0.8451773538964322,0.4257511608832255,128,4,0.001,32,False,-1,-1,387.55233639478683,0.4465551972389221
ginjk,0.8404423380726698,0.8505210467414983,0.8404423380726698,0.82344412317309,0.8397593971474849,0.4189016013442999,128,4,0.001,16,False,-1,-1,376.8301959633827,0.4413226842880249
ginjk,0.8345181674565562,0.8338152868632974,0.8345181674565562,0.8216906628676788,0.8311906043386763,0.5225145107820794,128,5,0.001,64,False,-1,-1,216.61322289705276,0.4968162178993225
ginjk,0.840047393364929,0.8389210928223862,0.840047393364929,0.8265007445117574,0.8382265358833858,0.48021797304399205,128,5,0.001,32,False,-1,-1,309.28341472148895,0.5141904354095459
ginjk,0.8453791469194312,0.8590050664023035,0.8453791469194312,0.8276573721366595,0.8459013591010647,0.44556258083872885,128,5,0.001,16,False,-1,-1,490.80209243297577,0.5030480027198792
ginjk,0.8220774091627172,0.8213455082012209,0.8220774091627172,0.8056744376339207,0.8184479046097483,0.5422928824220412,128,6,0.001,64,False,-1,-1,196.6879284977913,0.5735248327255249
ginjk,0.8335308056872037,0.8405230136857116,0.8335308056872037,0.8204090279959545,0.8315454323252771,0.4803838224560729,128,6,0.001,32,False,-1,-1,287.52671629190445,0.5949968099594116
ginjk,0.8485387045813586,0.8528859246965839,0.8485387045813586,0.8363477125781458,0.8479087990755996,0.4568790148466967,128,6,0.001,16,False,-1,-1,438.1551828980446,0.5838131904602051
ginjk,0.8305687203791469,0.8302291619251245,0.8305687203791469,0.817764837237542,0.8273027950647791,0.5357634448468402,128,7,0.001,64,False,-1,-1,306.2576234936714,0.6545263528823853
ginjk,0.837480252764613,0.8441357144756041,0.837480252764613,0.823973034934353,0.8361663117403849,0.4993425529879793,128,7,0.001,32,False,-1,-1,288.1176397204399,0.6415032148361206
ginjk,0.8437993680884677,0.85079742758598,0.8437993680884677,0.8313733564149183,0.8432838142507073,0.4241812053367519,128,7,0.001,16,False,-1,-1,682.576516866684,0.6429625153541565
ginjk,0.8218799368088469,0.8154402374920843,0.8218799368088469,0.8020172599904223,0.8188511091576398,0.571388996984533,64,4,0.001,64,False,-1,-1,205.42562872171402,0.3703223466873169
ginjk,0.8341232227488152,0.8309842540784451,0.8341232227488152,0.8142755885055599,0.8330001705889383,0.47088355250291725,64,4,0.001,32,False,-1,-1,278.44651532173157,0.3606666922569275
ginjk,0.8534755134281201,0.8543837919930655,0.8534755134281201,0.8431145204176423,0.8537409307408433,0.3893993255310055,64,4,0.001,16,False,-1,-1,476.10892754793167,0.3686102032661438
ginjk,0.8033175355450237,0.7919760393957546,0.8033175355450237,0.7770533969675859,0.8010823006731407,0.607471880260237,64,5,0.001,64,False,-1,-1,160.35969495773315,0.43377137184143066
ginjk,0.8311611374407584,0.8293203338749651,0.8311611374407584,0.8189557668919993,0.8276688218027699,0.5186302935789924,64,5,0.001,32,False,-1,-1,225.73276031017303,0.42339032888412476
ginjk,0.8416271721958926,0.8438092121330054,0.8416271721958926,0.8304079863045959,0.8404577305973102,0.479169588053443,64,5,0.001,16,False,-1,-1,389.7719723582268,0.4334595203399658
ginjk,0.8228672985781991,0.8163530395140859,0.8228672985781991,0.8095437725219682,0.8201599071198553,0.5637276399627587,64,6,0.001,64,False,-1,-1,180.57488626241684,0.4913402199745178
ginjk,0.8392575039494471,0.8419933268109931,0.8392575039494471,0.8278818146527216,0.8377044638395769,0.47861298585036915,64,6,0.001,32,False,-1,-1,338.6809004545212,0.49223560094833374
ginjk,0.8420221169036335,0.8505894680463882,0.8420221169036335,0.828415187849389,0.8409116262508438,0.4523519118026629,64,6,0.001,16,False,-1,-1,448.3016073703766,0.5008388757705688
ginjk,0.8175355450236967,0.8148918659832028,0.8175355450236967,0.8033388044624405,0.8123289808014356,0.5892771571097781,64,7,0.001,64,False,-1,-1,168.51033276319504,0.5575072169303894
ginjk,0.8319510268562401,0.8353752678340415,0.8319510268562401,0.8164444421295586,0.8304190447493108,0.4961273585568296,64,7,0.001,32,False,-1,-1,300.85698705911636,0.5634445548057556
ginjk,0.8461690363349131,0.8517808537617209,0.8461690363349131,0.8326137166050478,0.8459483519555842,0.4353894488577029,64,7,0.001,16,False,-1,-1,532.3318468332291,0.5471606850624084
